河北电信,#genre#
石家庄娱乐,h/rtp/239.254.200.29:6000?$河北电信
石家庄娱乐,h/rtp/239.254.200.29:6000?$河北电信
风云剧场,h/rtp/239.254.201.219:7257?$河北电信
欢笑剧场4K,h/rtp/239.254.201.164:6355?$河北电信
第一剧场,h/rtp/239.254.201.218:7258?$河北电信
都市剧场,h/rtp/239.254.201.167:6360?$河北电信
河北农民,h/rtp/239.254.200.23:6000?$河北电信
河北少儿,h/rtp/239.254.200.21:6000?$河北电信
河北影视,h/rtp/239.254.200.20:6000?$河北电信
河北经济,h/rtp/239.254.200.18:6000?$河北电信
河北都市,h/rtp/239.254.200.19:6000?$河北电信
石家庄生活,h/rtp/239.254.200.30:6000?$河北电信
石家庄都市,h/rtp/239.254.200.31:6000?$河北电信
怀旧剧场,h/rtp/239.254.201.220:7256?$河北电信

石家庄娱乐,h/rtp/239.254.200.29:6000?$河北电信
石家庄娱乐,h/rtp/239.254.200.29:6000?$河北电信
风云剧场,h/rtp/239.254.201.219:7257?$河北电信
欢笑剧场4K,h/rtp/239.254.201.164:6355?$河北电信
第一剧场,h/rtp/239.254.201.218:7258?$河北电信
都市剧场,h/rtp/239.254.201.167:6360?$河北电信
河北农民,h/rtp/239.254.200.23:6000?$河北电信
河北少儿,h/rtp/239.254.200.21:6000?$河北电信
河北影视,h/rtp/239.254.200.20:6000?$河北电信
河北经济,h/rtp/239.254.200.18:6000?$河北电信
河北都市,h/rtp/239.254.200.19:6000?$河北电信
石家庄生活,h/rtp/239.254.200.30:6000?$河北电信
石家庄都市,h/rtp/239.254.200.31:6000?$河北电信
怀旧剧场,h/rtp/239.254.201.220:7256?$河北电信

