港澳频道,#genre#
爱上4K,http://171.110.10.10:8181/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://120.84.121.3:808/hls/101/index.m3u8
CCTV1,http://120.84.121.118:808/hls/101/index.m3u8
CCTV1,http://120.84.121.223:808/hls/101/index.m3u8
CCTV1,http://106.46.35.133:808/hls/1/index.m3u8
CCTV1,http://14.155.190.4:8888/hls/1/index.m3u8
CCTV1,http://171.13.174.159:20443/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.108.239.116:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.110.42.134:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.109.7.15:18181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.110.10.10:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://171.108.239.115:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://120.84.121.3:808/hls/102/index.m3u8
CCTV2,http://120.84.121.118:808/hls/102/index.m3u8
CCTV2,http://120.84.121.223:808/hls/102/index.m3u8
CCTV2,http://106.46.35.133:808/hls/2/index.m3u8
CCTV2,http://14.155.190.4:8888/hls/2/index.m3u8
CCTV2,http://171.13.174.159:20443/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.108.239.116:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.110.42.134:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.110.10.10:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://171.109.7.15:18181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.108.239.115:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://120.84.121.118:808/hls/103/index.m3u8
CCTV3,http://120.84.121.3:808/hls/103/index.m3u8
CCTV3,http://120.84.121.223:808/hls/103/index.m3u8
CCTV3,http://14.155.190.4:8888/hls/29/index.m3u8
CCTV3,http://106.46.35.133:808/hls/3/index.m3u8
CCTV3,http://171.13.174.159:20443/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.108.239.116:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.109.7.15:18181/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.108.239.115:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.110.10.10:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://120.84.121.118:808/hls/4/index.m3u8
CCTV4,http://120.84.121.3:808/hls/4/index.m3u8
CCTV4,http://14.155.190.4:8888/hls/3/index.m3u8
CCTV4,http://120.84.121.223:808/hls/4/index.m3u8
CCTV4,http://106.46.35.133:808/hls/4/index.m3u8
CCTV4,http://171.13.174.159:20443/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.108.239.116:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.110.42.134:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.109.7.15:18181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.110.10.10:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
